"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.564438375E1,6.505291500E1,2.545618000E1,1.001666333E1,1.476738095E0,2.301199951E2,1.500000000E0,9.399999619E0
6.664438375E1,6.505290833E1,2.545615333E1,9.816663134E0,1.460266948E0,2.447899933E2,1.500000000E0,9.399999619E0
6.764438375E1,6.505290000E1,2.545612167E1,9.816663068E0,1.487547278E0,2.514400024E2,1.500000000E0,9.199999809E0
6.864438375E1,6.505289333E1,2.545608667E1,9.516662000E0,1.493723869E0,2.475399933E2,1.500000000E0,9.399999619E0
6.964438375E1,6.505288500E1,2.545605667E1,9.316662110E0,1.506077170E0,2.437400055E2,1.500000000E0,9.399999619E0
7.064438375E1,6.505288000E1,2.545602833E1,9.716661091E0,1.536960602E0,2.473800049E2,1.399999976E0,9.300000191E0
7.164438375E1,6.505287667E1,2.545599333E1,1.011665872E1,1.575564742E0,2.515500031E2,1.399999976E0,9.300000191E0
7.264438375E1,6.505287167E1,2.545596500E1,1.001665770E1,1.576594114E0,2.450299988E2,1.500000000E0,9.199999809E0
7.364438375E1,6.505286500E1,2.545593167E1,1.001665681E1,1.587403297E0,2.551699982E2,1.500000000E0,9.300000191E0
7.464438375E1,6.505286333E1,2.545589333E1,1.011665344E1,1.600786090E0,2.546900024E2,1.500000000E0,9.399999619E0
7.564438375E1,6.505285833E1,2.545585833E1,1.021665172E1,1.623433948E0,2.516999969E2,1.500000000E0,9.300000191E0
7.664438375E1,6.505285167E1,2.545583167E1,1.031665153E1,1.632698894E0,2.560700073E2,1.500000000E0,9.399999619E0
7.764438375E1,6.505284667E1,2.545580167E1,1.031665033E1,1.614168882E0,2.511799927E2,1.399999976E0,9.300000191E0
7.864438375E1,6.505283833E1,2.545576833E1,1.031665010E1,1.603359699E0,2.498399963E2,1.500000000E0,8.899999619E0
7.964438375E1,6.505283333E1,2.545573833E1,1.061664891E1,1.563726068E0,2.461799927E2,1.500000000E0,9.000000000E0
8.064438375E1,6.505283167E1,2.545570167E1,1.121664571E1,1.524607182E0,2.495500031E2,1.500000000E0,8.899999619E0
8.164438375E1,6.505282667E1,2.545567500E1,1.141664487E1,1.502988935E0,2.474499969E2,1.399999976E0,9.000000000E0
8.264438375E1,6.505282167E1,2.545563667E1,1.161664280E1,1.494753361E0,2.511699982E2,1.399999976E0,8.800000191E0
8.364438375E1,6.505281667E1,2.545560000E1,1.181664091E1,1.478282213E0,2.425099945E2,1.500000000E0,8.899999619E0
8.464438375E1,6.505281000E1,2.545556167E1,1.201663950E1,1.489091396E0,2.462700043E2,1.500000000E0,9.000000000E0
8.564438375E1,6.505280167E1,2.545553667E1,1.201664014E1,1.487547278E0,2.444199982E2,1.500000000E0,9.100000381E0
8.664438375E1,6.505279333E1,2.545550333E1,1.181663990E1,1.513283372E0,2.466000061E2,1.500000000E0,8.899999619E0
8.764438375E1,6.505278500E1,2.545547833E1,1.151664055E1,1.544681430E0,2.389299927E2,1.500000000E0,9.000000000E0
8.864438375E1,6.505277667E1,2.545544833E1,1.121664066E1,1.583800316E0,2.415700073E2,1.500000000E0,9.000000000E0
8.964438375E1,6.505277000E1,2.545541667E1,1.071663995E1,1.622404456E0,2.423500061E2,1.500000000E0,8.899999619E0
9.064438375E1,6.505276667E1,2.545538000E1,1.061663741E1,1.639904976E0,2.398000031E2,1.500000000E0,9.000000000E0
9.164438375E1,6.505276000E1,2.545534667E1,1.081663652E1,1.644537449E0,2.442700043E2,1.399999976E0,8.899999619E0
9.264438375E1,6.505275500E1,2.545532333E1,1.051663604E1,1.631669402E0,2.410099945E2,1.399999976E0,9.100000381E0
9.364438375E1,6.505274833E1,2.545530500E1,9.816636726E0,1.613139391E0,2.432200012E2,1.399999976E0,9.100000381E0
9.464438375E1,6.505274167E1,2.545528167E1,9.216636891E0,1.567843914E0,2.479199982E2,1.399999976E0,8.699999809E0
9.564438375E1,6.505273667E1,2.545525333E1,8.716635879E0,1.554461122E0,2.430099945E2,1.399999976E0,8.699999809E0
9.664438375E1,6.505273333E1,2.545521500E1,8.716633164E0,1.555490613E0,2.489100037E2,1.399999976E0,8.699999809E0
9.764438375E1,6.505273000E1,2.545517333E1,8.816630099E0,1.559093595E0,2.541300049E2,1.500000000E0,8.800000191E0
9.864438375E1,6.505272667E1,2.545514167E1,8.916628084E0,1.567843914E0,2.465299988E2,1.500000000E0,8.600000381E0
9.964438375E1,6.505272333E1,2.545510167E1,9.116625194E0,1.571961641E0,2.437400055E2,1.500000000E0,8.600000381E0
1.006443838E2,6.505271667E1,2.545507000E1,9.216624487E0,1.583800316E0,2.429900055E2,1.500000000E0,8.699999809E0
1.016443838E2,6.505271333E1,2.545503667E1,9.216622298E0,1.600786090E0,2.487100067E2,1.500000000E0,8.600000381E0
1.026443838E2,6.505270500E1,2.545501167E1,9.416622944E0,1.612624764E0,2.452899933E2,1.500000000E0,8.600000381E0
1.036443838E2,6.505270000E1,2.545498000E1,9.716621584E0,1.637846112E0,2.478200073E2,1.500000000E0,8.500000000E0
1.046443838E2,6.505269333E1,2.545495000E1,1.011662105E1,1.657405615E0,2.533800049E2,1.399999976E0,8.600000381E0
1.056443838E2,6.505268833E1,2.545491667E1,1.031661952E1,1.650199413E0,2.519100037E2,1.399999976E0,8.500000000E0
1.066443838E2,6.505268500E1,2.545489000E1,1.001661803E1,1.597183108E0,2.461799927E2,1.399999976E0,8.500000000E0
1.076443838E2,6.505268167E1,2.545486000E1,9.716616191E0,1.571446896E0,2.479799957E2,1.399999976E0,8.600000381E0
1.086443838E2,6.505267833E1,2.545482333E1,9.616613654E0,1.540048838E0,2.510000000E2,1.500000000E0,8.600000381E0
1.096443838E2,6.505267167E1,2.545478667E1,9.416612425E0,1.535416365E0,2.475000000E2,1.500000000E0,8.500000000E0
1.106443838E2,6.505266500E1,2.545475500E1,8.816611721E0,1.565270305E0,2.416999969E2,1.500000000E0,8.500000000E0
1.116443838E2,6.505265500E1,2.545471833E1,8.516611801E0,1.581741333E0,2.432899933E2,1.500000000E0,8.600000381E0
1.126443838E2,6.505264667E1,2.545468500E1,8.316611577E0,1.620345592E0,2.443999939E2,1.500000000E0,8.500000000E0
1.136443838E2,6.505263833E1,2.545464833E1,8.416611005E0,1.643508077E0,2.407400055E2,1.500000000E0,8.100000381E0
1.146443838E2,6.505263167E1,2.545461333E1,8.516609953E0,1.658434987E0,2.452100067E2,1.500000000E0,8.300000191E0
1.156443838E2,6.505262500E1,2.545458333E1,8.416609426E0,1.659464478E0,2.402599945E2,1.500000000E0,8.300000191E0
1.166443838E2,6.505261833E1,2.545455500E1,8.616609073E0,1.678509116E0,2.445700073E2,1.500000000E0,8.500000000E0
1.176443838E2,6.505261500E1,2.545453167E1,8.416607936E0,1.647625804E0,2.368699951E2,1.500000000E0,8.300000191E0
1.186443838E2,6.505260833E1,2.545450500E1,8.316607759E0,1.637846112E0,2.449100037E2,1.399999976E0,8.399999619E0
1.196443838E2,6.505260167E1,2.545447500E1,7.816607233E0,1.609021664E0,2.483600006E2,1.500000000E0,8.500000000E0
