"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.657937980E-1,-1.663129926E-1,5.431079865E-1,-1.228937030E0
7.708162960E-1,-2.065639943E-1,6.371610165E-1,-1.673089981E0
7.758388150E-1,-1.802819967E-1,4.925189912E-1,-1.463994026E0
7.808614100E-1,4.957399890E-2,7.546769977E-1,-2.331908941E0
7.858839760E-1,1.463999972E-3,5.240949988E-1,-1.955450058E0
7.909066000E-1,5.327399820E-2,7.924900055E-1,-3.186125994E0
7.959292070E-1,9.946700186E-2,5.041610003E-1,-2.712301016E0
8.009516260E-1,-2.307090014E-1,7.516549826E-1,-3.842351913E0
8.059741130E-1,-6.429900229E-2,4.920620024E-1,-3.552362919E0
8.109967490E-1,-4.209370017E-1,5.424460173E-1,-4.047707081E0
8.160193420E-1,-2.510530055E-1,3.418729901E-1,-3.968911886E0
8.210418270E-1,-4.528909922E-1,2.635399997E-1,-3.700165033E0
8.260643440E-1,-2.659449875E-1,1.295440048E-1,-3.846448898E0
8.310869250E-1,-4.996240139E-1,1.162900031E-2,-3.121129990E0
8.361094910E-1,-2.716209888E-1,-3.078399971E-2,-3.375832081E0
8.411321380E-1,-5.346159935E-1,-1.363530010E-1,-2.512711048E0
8.461547450E-1,-3.226589859E-1,-2.215400040E-1,-2.807248116E0
8.511771980E-1,-5.304110050E-1,-2.063820064E-1,-1.942407966E0
8.561996850E-1,-3.040820062E-1,-1.846279949E-1,-2.193588972E0
8.612223210E-1,-3.353910148E-1,-1.938990057E-1,-1.273926973E0
8.662449140E-1,-2.334199995E-1,-2.557500005E-1,-1.551596045E0
8.712673990E-1,-1.899079978E-1,-3.561399877E-2,-1.098402977E0
8.762899160E-1,-8.038599789E-2,-1.272069961E-1,-1.143941998E0
8.813125020E-1,-1.636839956E-1,-2.828500047E-2,-8.138509989E-1
8.863350680E-1,-4.969200119E-2,-5.999900028E-2,-9.477909803E-1
8.913575530E-1,-1.048580036E-1,-1.972260028E-1,-1.950249970E-1
8.963800650E-1,-9.060499817E-2,-1.034760028E-1,-5.656870008E-1
9.014026800E-1,-2.167100012E-1,-2.792040110E-1,6.354820132E-1
9.064252450E-1,-8.138199896E-2,-1.797360033E-1,2.090719938E-1
9.114477350E-1,-2.964319885E-1,-5.131999850E-1,1.404044986E0
9.164702470E-1,-2.499359995E-1,-3.028349876E-1,1.020349026E0
9.214928780E-1,-2.940450013E-1,-5.824189782E-1,1.827911973E0
9.265154750E-1,-2.807709873E-1,-4.768179953E-1,1.664937973E0
9.315380460E-1,-1.367869973E-1,-5.635150075E-1,1.802629948E0
9.365606270E-1,-2.567420006E-1,-5.328660011E-1,1.857074022E0
9.415831130E-1,4.224000033E-3,-4.544759989E-1,1.641312003E0
9.466056270E-1,-7.489199936E-2,-5.146960020E-1,1.731922030E0
9.516282180E-1,9.117399901E-2,-3.131220043E-1,1.422940016E0
9.566507830E-1,6.189300120E-2,-3.691250086E-1,1.516283035E0
9.616732690E-1,1.047239974E-1,-2.220309973E-1,1.084336042E0
9.666957810E-1,4.888899997E-2,-2.522700131E-1,1.251366973E0
9.717184120E-1,8.594200015E-2,-2.366320044E-1,1.187142968E0
9.767410080E-1,9.061700106E-2,-2.356220037E-1,1.085929990E0
9.817635830E-1,-1.090900004E-1,-2.935889959E-1,1.357308030E0
9.867861640E-1,-3.552899882E-2,-1.883590072E-1,1.220697045E0
9.918086310E-1,-1.203150004E-1,-4.737190008E-1,1.709231019E0
9.968311450E-1,-1.340959966E-1,-3.127959967E-1,1.533669949E0
1.001853727E0,-1.799370050E-1,-6.056280136E-1,2.306267977E0
1.006876292E0,-1.416070014E-1,-3.797999918E-1,1.957571983E0
1.011898782E0,-4.351209998E-1,-7.526320219E-1,3.101775885E0
1.016921294E0,-2.878609896E-1,-5.408499837E-1,2.631419897E0
1.021943881E0,-6.668059826E-1,-9.038010240E-1,3.871865034E0
1.026966446E0,-5.393369794E-1,-6.837880015E-1,3.505409002E0
1.031989070E0,-7.113969922E-1,-7.479190230E-1,3.942401886E0
1.037011677E0,-6.499819756E-1,-7.271320224E-1,3.972132921E0
1.042034175E0,-6.905140281E-1,-4.337570071E-1,3.526506901E0
1.047056694E0,-6.916120052E-1,-5.340999961E-1,3.801358938E0
1.052079260E0,-3.638080060E-1,-4.346700013E-2,2.495157003E0
1.057101826E0,-5.235540271E-1,-2.669399977E-1,3.090895891E0
1.062124436E0,-7.633200288E-2,4.641399980E-1,1.485811949E0
1.067147043E0,-2.441380024E-1,1.535709947E-1,1.962780952E0
1.072169526E0,3.271250129E-1,5.029889941E-1,9.260010123E-1
1.077192045E0,7.562600076E-2,4.800570011E-1,1.078441024E0
1.082214640E0,4.051490128E-1,-5.668099970E-2,1.667183995E0
1.087237206E0,2.404720038E-1,3.206799924E-1,1.126145959E0
1.092259696E0,2.317389995E-1,-8.733559847E-1,3.026879072E0
1.097282208E0,1.771229953E-1,-2.600429952E-1,2.279614925E0
1.102304780E0,-1.237310022E-1,-1.472836018E0,4.499820232E0
1.107327345E0,-8.680099994E-2,-8.925250173E-1,3.708311081E0
1.112349821E0,-3.833749890E-1,-1.736870050E0,5.462415218E0
1.117372333E0,-3.905909956E-1,-1.260712028E0,5.058783054E0
1.122394910E0,-3.890999854E-1,-1.909697056E0,5.554131031E0
1.127417475E0,-4.463660121E-1,-1.545431972E0,5.601511955E0
1.132440104E0,-4.289140105E-1,-1.681553960E0,4.929678917E0
1.137462711E0,-3.935030103E-1,-1.574808955E0,5.337425232E0
1.142485204E0,-5.661810040E-1,-1.261289001E0,3.692047119E0
1.147507723E0,-5.188789964E-1,-1.286434054E0,4.335311890E0
1.152530299E0,-6.019129753E-1,-8.341580033E-1,2.359086990E0
1.157552865E0,-5.609920025E-1,-9.768670201E-1,3.015391111E0
1.162575350E0,-1.936289966E-1,-4.634290040E-1,1.272197008E0
1.167597862E0,-4.370819926E-1,-5.584220290E-1,1.756085038E0
1.172620459E0,3.022609949E-1,-2.630729973E-1,5.841400027E-1
1.177643024E0,5.045299977E-2,-3.510960042E-1,9.204959869E-1
1.182665648E0,2.725700140E-1,1.228580028E-1,-1.425189972E-1
1.187688255E0,2.763330042E-1,-8.148899674E-2,2.382169962E-1
1.192710714E0,3.602800146E-2,2.966899872E-1,-1.023157001E0
1.197733233E0,4.282899946E-2,1.518000066E-1,-5.551630259E-1
1.202755809E0,-1.963219941E-1,4.799050093E-1,-1.961590052E0
1.207778375E0,-1.132809967E-1,3.251329958E-1,-1.542500019E0
1.212800851E0,-1.955219954E-1,5.195569992E-1,-2.375478983E0
1.217823363E0,-3.393509984E-1,4.147419930E-1,-2.240478039E0
1.222845948E0,2.422360033E-1,3.279789984E-1,-2.513809919E0
1.227868513E0,-7.763300091E-2,3.810099959E-1,-2.429800987E0
1.232891161E0,7.030019760E-1,1.228090003E-1,-2.480607986E0
1.237913768E0,3.517549932E-1,2.097360045E-1,-2.533274889E0
1.242936251E0,6.661670208E-1,1.846739948E-1,-2.536515951E0
1.247958770E0,5.992850065E-1,1.449359953E-1,-2.499115944E0
1.252981361E0,2.773970068E-1,2.802000046E-1,-2.769995928E0
1.258003927E0,4.066149890E-1,2.066230029E-1,-2.609484911E0
1.263026417E0,-5.055300146E-2,3.114970028E-1,-3.066595078E0
1.268048929E0,1.512150019E-1,1.564369947E-1,-2.982208014E0
1.273071551E0,-2.872290015E-1,3.792949915E-1,-3.256974936E0
1.278094148E0,-1.478119940E-1,2.510299981E-1,-3.144999981E0
1.283116733E0,-5.761099979E-2,3.065499961E-1,-3.633809090E0
1.288139314E0,-9.801600128E-2,1.839230061E-1,-3.453702927E0
1.293161809E0,9.842400253E-2,3.641369939E-1,-3.752449989E0
1.298184323E0,1.465099957E-2,1.669320017E-1,-3.683242083E0
1.303206910E0,3.093320131E-1,2.428179979E-1,-3.894522905E0
1.308229475E0,1.339599937E-1,1.319520026E-1,-3.785864115E0
1.313251956E0,3.211210072E-1,1.688970029E-1,-3.971286058E0
1.318274468E0,1.654569954E-1,1.957700029E-2,-3.936547995E0
1.323297055E0,1.381549984E-1,7.571999729E-2,-3.949986935E0
1.328319620E0,1.373579949E-1,-3.128900006E-2,-3.977883101E0
1.333342263E0,-3.302299976E-2,6.252100319E-2,-3.644133091E0
1.338364869E0,-4.135499895E-2,-8.815799654E-2,-3.768557072E0
1.343387357E0,-9.093499929E-2,1.841999963E-2,-3.378792048E0
1.348409876E0,-6.381399930E-2,-1.831270009E-1,-3.485343933E0
1.353432486E0,-2.552829981E-1,2.608899958E-2,-3.064631939E0
1.358455052E0,-1.605349928E-1,-1.281519979E-1,-3.179940939E0
1.363477570E0,-2.601050138E-1,-1.445200015E-2,-2.810092926E0
1.368500082E0,-2.518770099E-1,-1.870719939E-1,-2.884206057E0
1.373522679E0,-3.137100041E-1,7.974500209E-2,-2.483977079E0
1.378545244E0,-1.858099997E-1,-1.626169980E-1,-2.632747889E0
1.383567868E0,-5.686119795E-1,1.189749986E-1,-2.205725908E0
1.388590475E0,-3.211669922E-1,-4.766299948E-2,-2.307034969E0
1.393612968E0,-7.628380060E-1,9.332399815E-2,-1.597010016E0
1.398635487E0,-5.654910207E-1,-8.868999779E-3,-1.937530994E0
1.403658087E0,-6.667349935E-1,-2.990199998E-2,-8.585829735E-1
1.408680653E0,-6.545069814E-1,7.550000213E-3,-1.220818996E0
1.413703124E0,-4.193710089E-1,-1.219429970E-1,-1.241599955E-2
1.418725636E0,-5.027300119E-1,-6.495600194E-2,-5.157430172E-1
1.423748213E0,7.531999797E-2,-4.049269855E-1,1.134412050E0
1.428770778E0,-1.635169983E-1,-1.779329926E-1,5.326110125E-1
1.433793263E0,1.894640028E-1,-5.384150147E-1,2.030767918E0
1.438815775E0,5.926299840E-2,-3.755469918E-1,1.570868969E0
1.443838412E0,2.445439994E-1,-7.340040207E-1,2.663395882E0
1.448861009E0,1.378220022E-1,-5.316209793E-1,2.409794092E0
1.453883578E0,4.173199832E-2,-7.299929857E-1,2.746134996E0
1.458906159E0,9.871400148E-2,-7.012599707E-1,2.746216059E0
1.463928636E0,-1.525699943E-1,-4.858599901E-1,2.260065079E0
1.468951150E0,-1.145699993E-1,-5.515570045E-1,2.530050993E0
1.473973757E0,-9.781000204E-3,-4.339759946E-1,1.834005952E0
1.478996322E0,-1.382919997E-1,-4.000520110E-1,2.030973911E0
1.484018946E0,2.927370071E-1,-4.200829864E-1,1.753111959E0
1.489041553E0,9.999399632E-2,-3.775250018E-1,1.699764967E0
1.494064050E0,6.367750168E-1,-5.309770107E-1,2.057614088E0
1.499086569E0,3.901560009E-1,-4.107060134E-1,1.893116951E0
1.504109150E0,6.503040195E-1,-5.803279877E-1,2.555453062E0
1.509131716E0,6.211829782E-1,-4.717180133E-1,2.278867006E0
1.514154202E0,2.744170129E-1,-5.478569865E-1,2.966362953E0
1.519176714E0,4.459860027E-1,-4.400570095E-1,2.760987997E0
1.524199296E0,1.174319983E-1,-5.869010091E-1,3.237767935E0
1.529221861E0,2.128580064E-1,-4.569100142E-1,3.104370117E0
1.534244336E0,8.895500004E-2,-6.158400178E-1,3.603069067E0
1.539266848E0,1.355929971E-1,-5.262539983E-1,3.432744980E0
1.544289500E0,-4.532000050E-3,-5.766459703E-1,3.350786924E0
1.549312097E0,9.447900206E-2,-5.115439892E-1,3.563868999E0
1.554334681E0,-1.547710001E-1,-4.349069893E-1,2.705941916E0
1.559357262E0,-3.046800010E-2,-4.935219884E-1,3.053772926E0
1.564379753E0,-3.189029992E-1,-2.310310006E-1,1.711187959E0
1.569402267E0,-1.714839935E-1,-3.255159855E-1,2.186307907E0
1.574424853E0,-3.442539871E-1,-7.512000203E-2,7.397279739E-1
1.579447418E0,-2.742530107E-1,-1.554089934E-1,1.218219042E0
1.584470052E0,-1.881069988E-1,-6.925500184E-2,1.089669988E-1
1.589492659E0,-2.700189948E-1,-6.056899950E-2,3.934229910E-1
1.594515146E0,9.413000196E-3,-4.580140114E-1,3.425079882E-1
1.599537665E0,-1.123659983E-1,-1.059190035E-1,4.636799917E-2
1.604560266E0,2.121799998E-2,-7.963290215E-1,1.296641946E0
1.609582832E0,2.097300068E-2,-4.365819991E-1,7.536919713E-1
1.614605441E0,-1.124999952E-3,-1.126798034E0,2.316555023E0
1.619628048E0,3.810799867E-2,-6.996210217E-1,1.824715972E0
1.624650550E0,-1.432179958E-1,-1.186846972E0,2.776438951E0
1.629673069E0,2.404399961E-2,-9.094439745E-1,2.629998922E0
1.634695684E0,-2.873769999E-1,-1.043928981E0,2.357702971E0
1.639718250E0,-1.055419967E-1,-8.635029793E-1,2.657386065E0
1.644740740E0,-3.876349926E-1,-6.526020169E-1,1.323673010E0
1.649763252E0,-2.412520051E-1,-6.810690165E-1,1.864094019E0
1.654785819E0,4.689080119E-1,-4.156610072E-1,5.184059739E-1
1.659808384E0,7.129199803E-2,-3.857020140E-1,8.997669816E-1
1.664831008E0,8.799660206E-1,-9.886000305E-3,-4.059500098E-1
1.669853615E0,6.831020117E-1,-2.061470002E-1,1.000519991E-1
1.674876088E0,9.099860191E-1,3.581460118E-1,-1.679527998E0
